year,title,total_titles
1912,a study of the bronze age pottery of great britain and ireland and its associated grave-goods,10297
1912,the ride of the abernathy boys,10297
1912,vedanta philosophy : great saviours of the world,10297
1912,"vedanta philosophy : human affection, and divine love",10297
1912,"åbor, on the track of the, millington (p.)",10297
1912,beautiful lakeland,10297
1912,british mountain climbs,10297
1912,swiss mountain climbs,10297
1912,english life and manners in the later middle ages,10297
1912,academy architecture and architectural review,10297
1912,academy architecture and architectural review,10297
1912,abc guide to the practice of the supreme court,10297
1912,a. l.–animal making packet,10297
1912,diseases of the stomach : with special reference to treatment,10297
1912,aids to gynaecology,10297
1912,abbotsford,10297
1912,light on the gospel from an ancient poet,10297
1912,the sick-a-bed lady,10297
1912,the common people of ancient rome,10297
1912,society and politics in ancient rome,10297
1912,the holy war in tripoli,10297
1912,"england and the moslem world : articles, addresses and essays on eastern subjects",10297
1912,the immanence of god in rab- binical literature,10297
1912,deborah: a play in,10297
1912,thomas hardy : critical study,10297
1912,nan,10297
1912,"proceed- ings, &c",10297
1912,acts-arbroath corporation gas order,10297
1912,"acts--ashborne urban district council, is",10297
1912,acts-australian agricultural company,10297
1912,acts—bedwellty urban district council,10297
1912,acts-christchurch gas,10297
1912,"acts—church stretton urban district water, s",10297
1912,acts—criminal law amendment,10297
1912,acts—derwent valley water,10297
1912,"acts-tiducation board provisional order, essex",10297
1912,acts—egremont urban district water act,10297
1912,"acts—elementary school teachers' superannua- tion, id.; seal fisheries (north pacific)",10297
1912,acts-glasgow boundaries,10297
1912,acts-glasgow water,10297
1912,acts—kingston - upon - hull corporation pro- visional order confirmation act,10297
1912,acts—local government board's provisional orders,10297
1912,acts—local government board's provisional order,10297
1912,acts local government board's provi- sional order,10297
1912,acts—metropolitan railway,10297
1912,acts— military lands provisional order,10297
1912,acts-penwortham bridge,10297
1912,acts—protection of animals (scotland),10297
1912,acts—ramsbottom urban district railless trac- tion act,10297
1912,"acts - residential magistrates, belfast, id. telephone transfer amendment, id. ; railway companies' accounts and returns, kingston-upon-thames bridge",10297
1912,acts—swansea corporation,10297
1912,acts—swanage gas and water,10297
1912,acts of the apostles (the),10297
1912,francesca,10297
1912,woman and crime,10297
1912,"parodies and imitations, old and new",10297
1912,religion and the growing mind,10297
1912,a text-book of pathology : for students of medicine,10297
1912,the origin of the english constitution,10297
1912,charlie lucken at school and college,10297
1912,for james or george : a school- boy's tale of,10297
1912,in the fifteen : a tale of the first jacobite insurrection,10297
1912,"bible heroes, in picture and story",10297
1912,the mechanics of building construction,10297
1912,the evolution of educational theory,10297
1912,the lenten psalms,10297
1912,modern cottage architecture : illustrated from works of well-known artists,10297
1912,the boy scout's companion : a manual of scoutcraft,10297
1912,the boy's own book of indoor games and recreations,10297
1912,the boy's own book of pets and hobbies,10297
1912,pathology of the eye,10297
1912,a book of beggars,10297
1912,motor-car mechanism and management,10297
1912,a short history of logic,10297
1912,famous houses and literary shrines of london,10297
1912,a new conscience and an ancient evil,10297
1912,the spirit of youth and the city streets,10297
1912,the spirit of youth and the city streets,10297
1912,a piece of new cloth : a church tale of the,10297
1912,the romantic story of the mayflower pilgrims,10297
1912,elbow-room : a novel without a plot,10297
1912,out of the hurly-burly,10297
1912,primary malignant growths of the lungs and bronchi,10297
1912,admiralty—distance tables,10297
1912,admiralty-hydrographic,10297
1912,admiralty-hydrographic,10297
1912,admiralty-hydrographic,10297
1912,admiralty-hydrographic,10297
1912,admiralty-hydrographic,10297
1912,admiralty-hydrographic,10297
1912,admiralty-hydrographic,10297
1912,admiralty-hydrographic,10297
1912,admiralty-hydrographic,10297
1912,admiralty-hydrographic,10297
1912,admiralty-hydrographic,10297
1912,admiralty-hydrographic,10297
1912,admiralty-hydrographic,10297
1912,admiralty-hydrographic,10297
1912,admiralty-hydrographic,10297
1912,admiralty-manual for the deviation of the compass,10297
1912,"admiralty-nautical almanac abridged for the use of seamen, for the year",10297
1912,admiralty-regulations for the royal naval volunteer reserve,10297
1912,admiralty-russian and japanese prize cases,10297
1912,admiralty-sun's true bearing or azimuth tables,10297
1912,admiralty—tide tables for standard ports in the united kingdom and other parts of the world,10297
1912,adventures in many lands,10297
1912,adventures of the princess rosabel (the),10297
1912,"aeronautics, advisory committee for",10297
1912,aeschylus-seven against thebes,10297
1912,æsop's fables,10297
1912,æsop's fables,10297
1912,æsop's fables,10297
1912,æsop's fables,10297
1912,a book of the wilderness and jungle,10297
1912,afoot round london,10297
1912,nan,10297
1912,africa,10297
1912,currency report,10297
1912,crops and methods for soil improve,10297
1912,nance of manchester,10297
1912,agricultural statistics,10297
1912,"live stock, &c",10297
1912,"memoran- dum on the size, sex and condition of lobsters",10297
1912,report of the committee appointed to advise as to the measures to be adopted for the improvement of mountain and moorland breeds of ponies,10297
1912,"statistical tables relating to the catch of plaice, haddock, &c",10297
1912,memoirs,10297
1912,aids to the religious training of the young : being notes on the collects,10297
1912,ainsley's nautical almanack and tide tables,10297
1912,"the silences of jesus, and saint paul's hymn to love",10297
1912,guy fawkes,10297
1912,jack sheppard,10297
1912,the miser's daughter,10297
1912,old st,10297
1912,rookwood,10297
1912,the tower of london,10297
1912,the tower of london,10297
1912,windsor castle,10297
1912,airship panorama book (the),10297
1912,the garden of adam,10297
1912,on the history of the definite tenses in english,10297
1912,a history of south america,10297
1912,interpretations : a book of first poems,10297
1912,the brown eyes of mary,10297
1912,the glad heart,10297
1912,i know a maiden,10297
1912,the invincible amelia,10297
1912,the marriage of margaret,10297
1912,olivia mary,10297
1912,poppies in the corn,10297
1912,albion readers (the),10297
1912,good wives,10297
1912,little women,10297
1912,"little women, abridged by w. d. fordyce",10297
1912,little women : a story for girls,10297
1912,little women,10297
1912,an old fashioned girl,10297
1912,democratic england,10297
1912,alden's guide to oxford and neighbourhood,10297
1912,the british tuni- cata : an unfinished monograph,10297
1912,jock and some others,10297
1912,mac,10297
1912,the mongrel puppy book,10297
1912,merry party,10297
1912,poems of three pastorates,10297
1912,cr,10297
1912,the place-names of oxfordshire their origin and development,10297
1912,boyd alexander's last journey,10297
1912,the house of lisronan,10297
1912,the port of dreams,10297
1912,the saints' appeal : sermons preached in st,10297
1912,twenty- six graduated exercises in graphic statics,10297
1912,columns and struts : theory and practical design,10297
1912,"ali baba and the forty thieves, and other tales from the arabian nights",10297
1912,the legal position of women in,10297
1912,waters from deep springs : poems,10297
1912,the white lion,10297
1912,"stonewall jackson's campaign in the shenandoah valley of virginia, from nov",10297
1912,elementary business training,10297
1912,the modern locomotive,10297
1912,a child's visions,10297
1912,the song of frithiof : retold in modern verse,10297
1912,the desire of the eyes,10297
1912,dumaresq's daughter,10297
1912,physical and chemical properties of the petroleums of the san joaquin valley of california,10297
1912,the cheap cottage and small house : a manual of economical building,10297
1912,the cheap cottage and small house : a manual of economical building,10297
1912,light on life's difficulties,10297
1912,"the heroine in bronze ; or, a portrait of a girl: a pastoral of the city",10297
1912,a kentucky cardinal,10297
1912,"burgundy, the splendid duchy : studies and sketches in south burgundy",10297
1912,"the last legitimate king of france, louis xvii",10297
1912,peeps at heraldry,10297
1912,vaccine therapy: its theory and practice,10297
1912,"missionary methods, st",10297
1912,the violet book,10297
1912,allen's commercial organic analysis,10297
1912,let justice be done,10297
1912,fragments,10297
1912,"by the way : verses, fragments and notes",10297
1912,poems : selected and arranged by helen allingham,10297
1912,weather signs and how to read them,10297
1912,the principles of applied electro- chemistry,10297
1912,stupor mundi : the life and times of frederick ii,10297
1912,an introduction to english industrial history,10297
1912,"engineering work in public buildings : power, lighting, heating, ventila- tion, water-supply",10297
1912,almanach de gotha,10297
1912,"two stumbling blocks ; or, with blunt tools",10297
1912,wild life in the west highlands,10297
1912,the sounds of the mother tongue,10297
1912,amongst the classes,10297
1912,the quest of the four : a story of the comanches and buena vista,10297
1912,the tescan star,10297
1912,intimate memoirs of napoleon iii,10297
1912,the museums and ruins of rome,10297
1912,american annual of photography (the),10297
1912,american year book (the): a record of events and progress,10297
1912,the case against home rule,10297
1912,union and strength: a series of papers on imperial questions,10297
1912,"aid to arabic: fou officers, officials and others desirous of acquiring a general knowledge of the arabic language",10297
1912,ames (mrs,10297
1912,the broad walk,10297
1912,christ and labour,10297
1912,processes of flour manufacture,10297
1912,tlie south pole : an account of the norwegian antarctic expedition in the “ fram,10297
1912,analysis of the system of government throughout the british empire (an),10297
1912,analyst (the),10297
1912,"plato, and the true enlightener of soul",10297
1912,ancient scottish prayers,10297
1912,fairy tales,10297
1912,fairy tales,10297
1912,fairy tales,10297
1912,the romance of sandro botti- celli : woven from his paintings,10297
1912,surfaceman ”) later poems,10297
1912,with lute and viol,10297
1912,the great sea horse,10297
1912,the napoleonic campaign of,10297
1912,notes on the battles of antietam and fredericksburg,10297
1912,brown's ship's accounts and captain's letter writer,10297
1912,brown's ship's accounts and captain's letter writer,10297
1912,an artillery officer in the mexican war,10297
1912,the honour of his name,10297
1912,nan,10297
1912,the song of alfred,10297
1912,morning prayers,10297
1912,neighbours of mine,10297
1912,the genial rascal,10297
1912,the insurance guide and hand- book,10297
1912,a naturalist in the guianas,10297
1912,doctor grey,10297
1912,sable and motley : a novel,10297
1912,mrs,10297
1912,elementary principles of reinforced concrete construction,10297
1912,nan,10297
1912,fourteen years of diplomatic life in japan : leaves from the diary of baroness albert d'anethan,10297
1912,reminiscences,10297
1912,selected addresses,10297
1912,chapters from modern psychology,10297
1912,peace theories and the balkan war,10297
1912,the burgundian : a tale of old france,10297
1912,anglo-saxon chronicle (the),10297
1912,anglo-saxon chronicle (the),10297
