top_publisher,year,num_entry
MACMILLAN,1912,440
FROWDE,1912,384
WYMAN,1912,359
HODDER & S.,1912,320
LONGMANS,1912,288
WYMAN,1913,617
HODDER & S.,1913,419
MACMILLAN,1913,345
LONGMANS,1913,241
CONSTABLE,1913,217
WYMAN,1914,699
MACMILLAN,1914,379
HODDER & S.,1914,329
MILFORD,1914,321
LONGMANS,1914,252
WYMAN,1915,799
MILFORD,1915,411
HODDER & S.,1915,302
MACMILLAN,1915,246
LONGMANS,1915,243
HODDER & S.,1916,368
WYMAN,1916,365
MACMILLAN,1916,257
MILFORD,1916,253
LONGMANS,1916,213
HODDER & S.,1917,318
MILFORD,1917,253
WYMAN,1917,227
MACMILLAN,1917,226
LONGMANS,1917,191
H.M. STATIONERY OFF.,1918,470
MILFORD,1918,293
HODDER & S.,1918,281
MACMILLAN,1918,145
S.P.C.K.,1918,140
H.M. STATIONERY OFF.,1919,799
MILFORD,1919,279
HODDER & S.,1919,254
MACMILLAN,1919,191
LONGMANS,1919,164
H.M.S.O.,1920,532
MILFORD,1920,393
HODDER & S.,1920,383
MACMILLAN,1920,291
S.P.C.K.,1920,211
MILFORD,1921,531
H.M.S.O.,1921,520
HODDER & S.,1921,381
MACMILLAN,1921,268
CAMB. UNIV. PR.,1921,169
H.M.S.O.,1922,674
MILFORD,1922,375
HODDER & S.,1922,370
MACMILLAN,1922,252
HUTCHINSON,1922,179
